Kind,Name,CountLineCode,Cyclomatic,RatioCommentToCode
File,"BuildButtonColumn.java",23,,"1.00"
File,"BuildCommand.java",214,,"0.18"
File,"BuildCommandTest.java",225,,"0.20"
File,"BuildDiscarder.java",46,,"0.63"
File,"BuildDiscarderDescriptor.java",13,,"0.62"
File,"BuildDiscarderProperty.java",40,,"0.68"
File,"BuildDiscarderPropertyTest.java",61,,"0.43"
File,"BuildExecutionTest.java",36,,"0.64"
File,"BuildHistoryWidget.java",31,,"1.35"
File,"BuildKeepsRunningWhenFaultySubTasksTest.java",85,,"0.04"
File,"BuildListTable.java",28,,"0.86"
File,"BuildListTableTest.java",45,,"0.51"
File,"BuildListener.java",18,,"2.11"
File,"BuildListenerAdapter.java",42,,"0.67"
File,"BuildQueueWidget.java",8,,"1.12"
File,"BuildReference.java",108,,"0.56"
File,"BuildReferenceMapAdapter.java",313,,"0.06"
File,"BuildStatusIcon.java",24,,"1.08"
File,"BuildStatusSummaryTest.java",136,,"0.08"
File,"BuildStep.java",81,,"2.84"
File,"BuildStepCompatibilityLayer.java",79,,"0.71"
File,"BuildStepCompatibilityLayerTest.java",34,,"0.03"
File,"BuildStepDescriptor.java",33,,"1.55"
File,"BuildStepListener.java",11,,"1.36"
File,"BuildStepMonitor.java",43,,"0.21"
File,"BuildTimeTrend.java",37,,"0.65"
File,"BuildTimeTrendTest.java",164,,"0.19"
File,"BuildTimelineWidget.java",38,,"0.92"
File,"BuildTrigger.java",326,,"0.30"
File,"BuildTriggerTest.java",288,,"0.17"
File,"BuildVariableContributor.java",12,,"4.83"
File,"BuildWrapper.java",79,,"3.10"
File,"BuildWrapperDescriptor.java",13,,"3.31"
File,"BuildWrappers.java",29,,"1.41"
File,"BuildableItem.java",14,,"2.86"
File,"BuildableItemWithBuildWrappers.java",7,,"3.00"
File,"Builder.java",26,,"1.77"
File,"BuiltInNodeMigration.java",34,,"0.82"
File,"BuiltInNodeMigrationPropertyTest.java",37,,"0.62"
File,"BuiltInNodeMigrationRestartTest.java",99,,"0.04"
File,"BuiltInNodeMigrationTest.java",47,,"0.51"
File,"BulkChange.java",48,,"2.12"
File,"BulkChangeTest.java",69,,"0.58"
File,"ByteArrayOutputStream2.java",26,,"0.31"
File,"CLI.java",424,,"0.14"
File,"CLIAction.java",263,,"0.15"
File,"CLIActionTest.java",258,,"0.11"
File,"CLICommand.java",267,,"0.99"
File,"CLIConnectionFactory.java",19,,"1.16"
File,"CLIConnectionFactoryTest.java",19,,"0.00"
File,"CLIEnvVarTest.java",210,,"0.03"
